"","models","loss","accuracy"
"1","NN_embd_100",1.01015555858612,0.759408593177795
"2","NN_embd_200",0.961142361164093,0.776433706283569
"3","NN_embd_300",0.926750004291534,0.786738336086273
"4","NN_embd_400",2.82333660125732,0.620071709156036
"5","RNN",1.54810464382172,0.646356046199799
"6","Mulilayer RNN",2.47495412826538,0.545698940753937
"7","LSTM",1.52467000484467,0.726105153560638
"8","BI-LSTM",1.64021098613739,0.715053737163544
"9","1d-CNN",2.07994771003723,0.67025089263916
"10","1d-CNN-BiLSTM",1.86592674255371,0.68832141160965
